probe_id,length,normalized_sequence,zero_sum,description
biphasic_2,2,"[1,-1]",True,short paired pulse
biphasic_4,4,"[1,1,-1,-1]",True,plateau then reversal
alternating_4,4,"[1,-1,1,-1]",True,fast ramp/delay discrimination
staircase_5,5,"[0.5,1,0,-1,-0.5]",True,power and dynamic discrimination
prbs_6,6,"[1,-1,-1,1,-1,1]",True,short zero-mean PRBS
