point_id,period_s,sg_tension,load_magnitude_pu,power_spread_pu,ramp_spread_pu_per_s,delay_spread_s,noise_std_pu,soc,tie_loading_pu,objective,candidate_count,robust_cost,perfect_information_cost,perfect_information_value,heuristic_value,maximum_safe_probe_upper_value,maximum_exact_probe_value,region,selected_probe_id,no_probe_reason,registered_probe_count,safe_probe_count,evaluated_probe_count,all_safe_probes_evaluated,solver_attempts,solver_failures,elapsed_s
B1_LHS_0000,2.0,low,0.058017062333801384,0.019943338921267508,0.01793953494557916,0.8640511436703168,0.001775804505338217,0.5372238537263774,0.0003855524941987266,balanced,8,3.593196460726815,3.5931970977392957,-6.37012480542154e-07,0.030465785621644648,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.436552800005302
B1_LHS_0001,2.0,low,0.030546106016530405,0.009107633753714747,0.034710515940804786,1.1669735501212724,0.0006092654796310013,0.3265708816531203,0.016810506261736254,regional_responsibility,8,1.934946945828789,1.9349469423075587,3.5212301963127857e-09,0.04382853633506184,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,3.085271499992814
B1_LHS_0002,4.0,medium,0.0703088695558454,0.0064325784338934286,0.004896966334854091,0.28954092259588343,0.0005761032523548046,0.6983701457566165,0.03502251691197246,resource_economy,8,12.086900432626063,12.085634565627068,0.0012658669989953353,0.017302071168329495,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,60,60,0,False,9,0,1.9945780000125524
B1_LHS_0003,2.0,medium,0.0629062309086939,0.018952761388618077,0.034622387648370063,0.34395971221066224,0.0018697696146579973,0.4343158960643215,0.002540746185743181,balanced,8,4.258418952333573,4.258418955968397,-3.634823997344938e-09,0.01377991084279867,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,4.209698599996045
B1_LHS_0004,4.0,medium,0.06530884659816122,0.03327223131549462,0.030143598508566762,0.21494260967881934,0.0007513342547656318,0.305739868505329,0.02438644439338535,regional_responsibility,8,12.419379896330874,12.419379878908645,1.742222899281387e-08,3.657515586114393e-06,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,60,60,0,False,9,0,1.8924712000007275
B1_LHS_0005,4.0,medium,0.06783399320510322,0.02421160446831227,0.0224111175718604,0.7251228601683771,0.0010961467314509477,0.5298773060010021,0.037324289525719,resource_economy,8,11.589774921693412,11.586665724811217,0.003109196882194354,0.027622685260312134,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,60,60,0,False,9,0,1.848213899997063
B1_LHS_0006,2.0,low,0.06114265452184606,0.01960299115638619,0.02951539913217906,1.2281068612859987,0.000932966636622593,0.6322121986124436,0.006993697622179663,balanced,8,4.1323429235530424,4.1323429366509234,-1.3097881002011036e-08,0.045697948589801696,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.2824662000057288
B1_LHS_0007,2.0,high,0.03468345544161276,0.011753979798768853,0.013296787675316725,1.1914350515661105,0.0012730159239598192,0.6894951702427433,0.019190775540433438,regional_responsibility,8,2.5035205466094497,2.503520535682497,1.0926952676015844e-08,0.05276405936491281,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,180,180,0,False,9,0,2.222822100011399
B1_LHS_0008,2.0,medium,0.016183656425729286,0.013920479430851325,0.02651108335638344,1.1235794775847119,0.0015735632592384853,0.4711625004982253,0.03211015642922123,resource_economy,8,1.785590586815882,1.78548329611085,0.00010729070503190385,0.06231064838749283,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,180,180,0,False,9,0,2.246461500006262
B1_LHS_0009,2.0,low,0.02451210353157629,0.006391356589640404,0.015557512738010548,0.5442925233991809,0.001755113627813475,0.365932256149763,0.01125765380880623,balanced,8,0.8588123392617147,0.8588123701981158,-3.09364011075175e-08,0.008002189652796601,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.291285200015409
B1_LHS_0010,2.0,medium,0.030405580685503017,0.0005141949514943008,0.014491855127414917,0.5991472622251728,0.00188636336860564,0.4583733189397714,0.025601161500354915,regional_responsibility,8,2.7483849232211015,2.7483849175595383,5.661563218239962e-09,0.027037650280327844,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.2649336000031326
B1_LHS_0011,4.0,low,0.028448644267488103,0.03093227293046996,0.034223501529664774,0.9523060363181313,0.0009990699833077946,0.4746170687910669,0.013379549969415068,resource_economy,8,1.9142699981103204,1.9142699937549026,4.355417804191575e-09,-0.0041826205504573635,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.068794799997704
B1_LHS_0012,4.0,low,0.060419132616594214,0.0335201129923676,0.02565713148328014,0.723209854322413,0.001779579337905603,0.420717541125496,0.020727194291112628,balanced,8,8.064607775298578,8.064607769690017,5.608560726955147e-09,0.008262344798345674,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.0738205999950878
B1_LHS_0013,2.0,medium,0.06493269887161833,0.016558189329145146,0.009737254323294477,0.6248602262214373,0.0013208970261038527,0.5090756274158672,0.009575861088317594,regional_responsibility,8,5.942765598157968,5.942765579593682,1.856428610835792e-08,0.044072906520725666,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,180,180,0,False,9,0,2.3214562000066508
B1_LHS_0014,4.0,low,0.03627871826942014,0.025921139744146032,0.023326563774501426,0.2500162219712503,0.0011690631213186584,0.38379091381779157,0.025334250751602987,resource_economy,8,3.6434519653830346,3.643451966341665,-9.586305083075786e-10,-0.006013653221015872,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.135829000006197
B1_LHS_0015,4.0,low,0.07224701000564533,0.012236776854814035,0.002683420110100795,1.0426893198666103,0.0016022109656651299,0.3027097959855387,0.006699385500772671,balanced,8,10.365573609267106,10.36557360985959,-5.924842838567201e-10,0.011678455702073978,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.1479776999913156
B1_LHS_0016,4.0,medium,0.04793442361452157,0.009011189369596611,0.028947055118850294,0.8807244833915123,0.0018568410885940747,0.498725048184349,0.011042950698959851,regional_responsibility,8,6.1365498273758865,6.136549817380525,9.995361871517616e-09,0.009977041949748189,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.0668433000100777
B1_LHS_0017,4.0,low,0.036376622680301424,0.022208093216638067,0.026187741125852083,0.27631671290075843,0.0009796052573306977,0.6968950732057573,0.014304058359029495,resource_economy,8,2.9875949837542186,2.987594976952009,6.802209462364317e-09,-0.005121143552865581,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.0726540999894496
B1_LHS_0018,2.0,medium,0.0641755075126142,0.020856069450612108,0.024643412103513597,0.933810134493707,0.001999012433136078,0.48442230439019635,0.02808716172506926,balanced,8,5.765790468124359,5.765790454158417,1.3965942180504953e-08,0.05583406975377642,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,180,180,0,False,9,0,2.258472499990603
B1_LHS_0019,2.0,high,0.07393331335877654,0.004274323962722443,0.013791069237819448,0.6731178649263482,0.0010500615068229006,0.38053802856545604,0.02828998265226858,regional_responsibility,8,9.379017608681009,9.379017601979422,6.70158684101807e-09,0.07052243537414912,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.3405029000132345
B1_LHS_0020,4.0,medium,0.01727203806518228,0.01162524715213879,0.001815638491215725,0.9429501604120833,0.00147517582141565,0.5620323364834187,0.0055699057134166105,resource_economy,8,0.6479190138196702,0.6479189996971751,1.4122495062274254e-08,-0.00457103416909585,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,60,60,0,False,9,0,1.0730872999993153
