scenario_id,split,seed,plant,mechanism,sg_tension,period_s,duration_s,domain,timing_relation,load_area,load_sign,condition,capability_change_time_s,load_event_time_s,second_capability_change_time_s,initial_soc,frequency_noise_std_hz,control_jitter_s,dropout_probability,factor_assignment,nominal_warmup_s
I6-N-00,validation,40,A_full_nonlinear,power_drop,low,4.0,3600.0,SUSTAINABLE,normal_profile,both,1,known,1100.0,0.0,2400.0,0.5,0.0001,0.01,0.001,independent_real_profile_design,60.0
I6-N-01,validation,41,A_full_nonlinear,ramp_drop,low,4.0,3600.0,SUSTAINABLE,normal_profile,both,1,known,1190.0,0.0,2430.0,0.5,0.0001,0.01,0.001,independent_real_profile_design,60.0
I6-N-02,validation,42,A_full_nonlinear,delay_increase,low,4.0,3600.0,SUSTAINABLE,normal_profile,both,1,known,1280.0,0.0,2460.0,0.5,0.0001,0.01,0.001,independent_real_profile_design,60.0
I6-N-03,validation,43,A_full_nonlinear,power_drop,low,4.0,3600.0,SUSTAINABLE,normal_profile,both,1,OOD,1370.0,0.0,2490.0,0.5,0.0001,0.01,0.001,independent_real_profile_design,60.0
I6-N-04,validation,44,A_full_nonlinear,ramp_drop,low,4.0,3600.0,SUSTAINABLE,normal_profile,both,1,OOD,1460.0,0.0,2520.0,0.5,0.0001,0.01,0.001,independent_real_profile_design,60.0
I6-N-05,validation,45,A_full_nonlinear,delay_increase,low,4.0,3600.0,SUSTAINABLE,normal_profile,both,1,OOD,1550.0,0.0,2550.0,0.5,0.0001,0.01,0.001,independent_real_profile_design,60.0
