metric,paired_scenarios,proposed_failure_aware_mean,baseline_failure_aware_mean,mean_relative_improvement,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,improves_at_least_8_percent,positive_ci_lower
frequency_peak_hz,120,1.1442779168092205,1.3310132601657985,-0.042735036729643634,-0.2249421479797007,0.05844083052244208,False,False
ace_iae_pu_s,120,70.74755078511147,89.27100443190103,-0.31758466548991304,-1.4458227725561243,0.30108266545110846,False,False
tie_rms_pu,120,0.11994197780498113,0.1500577567879427,-1.3831813631536969,-4.606432497513079,0.25830422343221776,False,False
