plant,period_s,exact_generator_matrix_loaded,primary_solve_accepted,zero_terminal_bess_command,actual_action_history_pipeline_matches,hard_constraint_residual,code_object_replay_passed
A,2.0,True,True,True,True,4.243830904987713e-15,True
A,4.0,True,True,True,True,7.009589769524856e-16,True
