scenario_id,split,seed,plant,mechanism,sg_tension,period_s,duration_s,nominal_warmup_s,capability_change_time_s,load_event_time_s,timing_relation,load_area,load_sign,initial_soc,known_ood,contract_violation,factor_assignment,source_scenario_id,condition,control_period_s,capability_mechanism,load_magnitude_pu,probe_eligible,contract_status,materiality_positive
VOI-M1-00,development,206,A_full_nonlinear,power_drop,low,2.0,300.0,60.0,103.97426250148408,89.97426250148408,before,area0,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-000,known,2.0,power_drop,0.0744,True,WITHIN_CONTRACT,True
VOI-M1-01,development,207,A_full_nonlinear,power_drop,low,2.0,300.0,60.0,112.37097453060484,112.37097453060484,simultaneous,area1,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-001,known,2.0,power_drop,0.0744,True,WITHIN_CONTRACT,True
