knowledge_split,planned_episode_count,executed_episode_count,result
final_known,1800,0,not_evaluated_due_to_H2_fatal_gate
final_known_negative_control,360,0,not_evaluated_due_to_H2_fatal_gate
final_ood,240,0,not_evaluated_due_to_H2_fatal_gate
