split,joint_coverage,power_coverage,ramp_coverage,delay_coverage,energy_coverage,false_alarm_rate,prechange_alarm_rate,mechanisms_passing,load_rmse_pu,timing_evaluated_episodes,not_evaluated_timing_episodes,h2_passed
development,0.7373993055555557,0.8030868055555556,0.8864583333333333,0.983701388888889,1.0,0.0,0.0,0,0.0029243151708083,36,84,False
validation,0.7946979166666668,0.8632256944444445,0.9000486111111112,0.9804861111111112,1.0,0.0,0.0,0,0.0029269779859425,36,84,False
