metric,analysis,penalty_multiplier,paired_scenarios,design_cells,scenario_balanced_proposed_mean,scenario_balanced_baseline_mean,paired_absolute_difference,aggregate_mean_relative_improvement,diagnostic_only_mean_episode_relative_ratio,primary_metric,relative_improvement_lower,passes
frequency_peak_hz,both_success,,88,24,0.2419299831215116,0.24248750947895548,0.0005575263574438827,0.002299196188050536,0.003341005710589788,True,-0.007735671962992813,False
ace_iae_pu_s,both_success,,88,24,1.83388195193986,1.8947923795173829,0.06091042757752296,0.03214622785903186,-0.011934228198834673,True,-0.04586615631786532,False
tie_rms_pu,both_success,,88,24,0.003682511746641373,0.0033764365786600327,-0.0003060751679813405,-0.09065035307217557,-0.1288375257770535,True,-0.14749308902764557,False
