metric,analysis,penalty_multiplier,paired_scenarios,design_cells,scenario_balanced_proposed_mean,scenario_balanced_baseline_mean,paired_absolute_difference,aggregate_mean_relative_improvement,diagnostic_only_mean_episode_relative_ratio,primary_metric
frequency_peak_hz,both_success,,88,24,0.2419299831215116,0.24248750947895548,0.0005575263574438827,0.002299196188050536,0.003341005710589788,True
frequency_peak_hz,failure_aware,1.5,110,24,0.3453798292658734,0.3317760647204182,-0.0136037645454552,-0.041002850995049474,-0.06454058116753315,False
frequency_peak_hz,failure_aware,2.0,110,24,0.3993372861840994,0.37861485141425116,-0.020722434769848253,-0.05473222905135162,-0.09603595217044393,False
frequency_peak_hz,failure_aware,3.0,110,24,0.5072522000205516,0.47229242480191713,-0.03495977521863447,-0.07402146082122078,-0.15902669417626536,False
ace_iae_pu_s,both_success,,88,24,1.83388195193986,1.8947923795173829,0.06091042757752296,0.03214622785903186,-0.011934228198834673,True
ace_iae_pu_s,failure_aware,1.5,110,24,2.489882748907332,2.4997386193784816,0.009855870471149775,0.003942760412926801,-0.054978402717294636,False
ace_iae_pu_s,failure_aware,2.0,110,24,2.816471160133954,2.783239840596238,-0.033231319537716075,-0.011939797301333942,-0.07921298519427938,False
ace_iae_pu_s,failure_aware,3.0,110,24,3.469647982587199,3.3502422830317506,-0.11940569955544822,-0.03564091473629001,-0.12768215014824882,False
tie_rms_pu,both_success,,88,24,0.003682511746641373,0.0033764365786600327,-0.0003060751679813405,-0.09065035307217557,-0.1288375257770535,True
tie_rms_pu,failure_aware,1.5,110,24,0.005327941860729738,0.004892338554114657,-0.00043560330661508023,-0.08903785005817309,-0.21425272650520585,False
tie_rms_pu,failure_aware,2.0,110,24,0.00605778350339813,0.0055258913376164745,-0.0005318921657816557,-0.09625454669383363,-0.2604045375573026,False
tie_rms_pu,failure_aware,3.0,110,24,0.007517466788734914,0.006792996904620106,-0.0007244698841148076,-0.10664952366194594,-0.3527081596614961,False
