scenario_id,split,seed,plant,mechanism,sg_tension,period_s,duration_s,magnitude_class,timing_relation,load_area,load_sign,condition,capability_change_time_s,load_event_time_s,second_capability_change_time_s,initial_soc,frequency_noise_std_hz,control_jitter_s,dropout_probability,nominal_warmup_s,factor_assignment,contract_violation
R5-CV-00,validation_contract_violation_separate,50,A_full_nonlinear,power_drop,low,2.0,300.0,bridge,before,both,1,contract_violation,128.18582832854375,113.42532197321755,,0.5,0.0,0.0,0.0,60.0,INDEPENDENT_REGISTERED_PER_FACTOR_PERMUTATIONS,True
R5-CV-01,validation_contract_violation_separate,51,A_full_nonlinear,power_drop,low,4.0,300.0,bridge,before,both,1,contract_violation,107.92061322714468,96.46589112678998,,0.5,0.0,0.0,0.0,60.0,INDEPENDENT_REGISTERED_PER_FACTOR_PERMUTATIONS,True
R5-CV-02,validation_contract_violation_separate,52,A_full_nonlinear,power_drop,high,2.0,300.0,bridge,before,both,1,contract_violation,102.28315660391902,83.40423535196688,,0.5,0.0,0.0,0.0,60.0,INDEPENDENT_REGISTERED_PER_FACTOR_PERMUTATIONS,True
R5-CV-03,validation_contract_violation_separate,53,A_full_nonlinear,power_drop,high,4.0,300.0,bridge,before,both,1,contract_violation,109.88242025987206,92.55488451036406,,0.5,0.0,0.0,0.0,60.0,INDEPENDENT_REGISTERED_PER_FACTOR_PERMUTATIONS,True
R5-CV-04,validation_contract_violation_separate,54,A_full_nonlinear,ramp_drop,low,2.0,300.0,bridge,before,both,1,contract_violation,115.37044542225577,94.42999312106028,,0.5,0.0,0.0,0.0,60.0,INDEPENDENT_REGISTERED_PER_FACTOR_PERMUTATIONS,True
R5-CV-05,validation_contract_violation_separate,55,A_full_nonlinear,ramp_drop,low,4.0,300.0,bridge,before,both,1,contract_violation,131.94030676662945,116.93974371558377,,0.5,0.0,0.0,0.0,60.0,INDEPENDENT_REGISTERED_PER_FACTOR_PERMUTATIONS,True
