method,success_rate,frequency_peak_hz,ace_iae_pu_s,tie_rms_pu,fallback_calls
contract_only_rolling_mpc,0.7894736842105263,0.785591727374526,18.04834182414125,0.03244836738562817,22
dcsv_cr_mpc,0.6842105263157895,0.9921887426389383,28.668049441479837,0.05573211300582669,103
fixed_allocation_anti_windup_pi,0.631578947368421,0.8788687787555851,35.9776926991296,0.05983463134757958,0
model_adaptive_mpc,0.7894736842105263,0.785039962286194,17.999680943374372,0.0323482858267228,24
nominal_offset_free_mpc,0.7368421052631579,0.7542443832880017,15.033834240141696,0.024975507371771646,1
sg_only_anti_windup_pi,0.5789473684210527,1.0778375594818532,47.03321055412614,0.0838560187402212,0
true_capability_oracle_mpc,0.7368421052631579,0.7812985731702767,15.64181266085623,0.02660672443619775,17
