method,episodes,frequency_peak_hz,frequency_rms_hz,ace_iae_pu_s,tie_rms_pu,terminal_recovery_rate,fallback_calls,hard_violations,final_soc_min,final_soc_max,quality_gate
contract_only_rolling_mpc,6,2.230280684360332,0.5726759822887404,196.21716375087024,0.038298979617379374,0.8333333333333334,0,0,0.45032272035041665,0.49997400629599975,False
dcsv_cr_mpc,6,2.29070632959956,0.9064544707089831,434.55579610024097,0.06115130953236674,0.8333333333333334,322,0,0.35102323334418406,0.5084182589567471,False
fixed_allocation_anti_windup_pi,6,2.1098809108740464,0.7866936337325701,333.97707564155326,0.053418046069830034,0.8333333333333334,0,0,0.3898139436641251,0.5005941840551382,False
model_adaptive_mpc,6,2.218100900521475,0.6034714023948343,216.77630772086943,0.040313175471668176,0.8333333333333334,0,0,0.44186043564901406,0.4999854383114111,False
nominal_offset_free_mpc,6,1.7353946065835755,0.4243029641815534,147.42297534486121,0.02853374788372735,0.8333333333333334,0,0,0.4646403024396365,0.4999729948263956,False
sg_only_anti_windup_pi,6,2.159801659455044,0.9445201247429849,600.4398602839178,0.09576252910224847,0.6666666666666666,0,0,0.35684049793653716,0.49996970675308366,False
true_capability_oracle_mpc,6,1.6458192779387413,0.42493838127271133,153.64415666810262,0.028352555420765143,0.8333333333333334,0,0,0.4487094338952794,0.5075981884833977,False
