scenario_id,mechanism,sg_tension,period_s,condition,timing_relation,value_region,base_frequency_peak_hz,voi_frequency_peak_hz,oracle_frequency_peak_hz,base_ace_iae_pu_s,voi_ace_iae_pu_s,oracle_ace_iae_pu_s,base_tie_iae_pu_s,voi_tie_iae_pu_s,oracle_tie_iae_pu_s,base_sg_mechanical_mileage_pu,voi_sg_mechanical_mileage_pu,oracle_sg_mechanical_mileage_pu,voi_probe_triggers,probe_command_l1_pu_s,hard_violation,fallback_calls,candidate_diameter_reduction_max,maximum_unmetered_responsibility_jump_pu,actually_probed
D5-M1R1-000,power_drop,low,2.0,known,before,HIGH_VALUE_CANDIDATE,0.3144061974972532,0.3144061974972532,0.3161285645062949,1.0959822513901347,1.0959822513901347,1.0882124902920012,0.1733486455686312,0.1733486455686312,0.1626530896668037,0.2203433436619179,0.2203433436619179,0.2032006516790201,0,0.0,False,0,0.0,0.0,False
D5-M1R1-001,power_drop,low,2.0,known,before,LOW_VALUE_CONTROL,0.0591205584546642,0.0591205584546642,0.0585726858044923,0.1625281070149373,0.1625281070149373,0.160982768790864,0.0377195986374173,0.0377195986374173,0.0369749039902301,0.0679148630706934,0.0679148630706934,0.0655626804913329,0,0.0,False,0,0.0,0.0,False
D5-M1R1-002,power_drop,low,4.0,known,simultaneous,HIGH_VALUE_CANDIDATE,0.4540639393955227,0.4540639393955227,0.453937955723016,2.4216114646109155,2.4216114646109155,2.4237664011621267,0.0963002641891469,0.0963002641891469,0.096358275591143,0.3702649845238854,0.3702649845238854,0.3722758943405111,0,0.0,False,0,0.0,0.0,False
D5-M1R1-003,power_drop,low,4.0,known,simultaneous,LOW_VALUE_CONTROL,0.0525611749775617,0.0525611749775617,0.0525904529695113,0.2136068003761289,0.2136068003761289,0.2148055529635909,0.0492588242290352,0.0492588242290352,0.0493295708956664,0.0897134202421287,0.0897134202421287,0.0907806594244561,0,0.0,False,0,0.0,0.0,False
D5-M1R1-004,power_drop,high,2.0,OOD,after,HIGH_VALUE_CANDIDATE,0.2400974023005751,0.2400974023005751,0.2401021940952769,0.7943474560459511,0.7943474560459511,0.7944159295544286,0.1480168289836739,0.1480168289836739,0.148046445784358,0.161783589011798,0.161783589011798,0.1618157712941716,0,0.0,False,0,0.0,0.0,False
D5-M1R1-005,power_drop,high,2.0,OOD,after,LOW_VALUE_CONTROL,0.076950201484593,0.076950201484593,0.0769480745637334,0.2633751892492932,0.2633751892492932,0.2633524720683663,0.0095978784038368,0.0095978784038368,0.0095937517765635,0.0927341676880309,0.0927341676880309,0.0927421164216192,0,0.0,False,0,0.0,0.0,False
D5-M1R1-006,power_drop,high,4.0,OOD,before,HIGH_VALUE_CANDIDATE,0.236506875799743,0.236506875799743,0.2365069054514533,1.062516077492376,1.062516077492376,1.0424050000809475,0.2660627300669863,0.2660627300669863,0.2541196484188537,0.2377533523536045,0.2377533523536045,0.2341277643730793,0,0.0,False,0,0.0,0.0,False
D5-M1R1-007,power_drop,high,4.0,OOD,before,LOW_VALUE_CONTROL,0.0576598653086078,0.0576598653086078,0.057673917019098,0.2328779689491001,0.2328779689491001,0.2334516771193612,0.0560428872511856,0.0560428872511856,0.0557649164867394,0.0889807290601758,0.0889807290601758,0.0892800370441605,0,0.0,False,0,0.0,0.0,False
D5-M1R1-008,ramp_drop,low,2.0,OOD,simultaneous,HIGH_VALUE_CANDIDATE,0.4404579501420834,0.4404579501420834,0.4404656307618432,1.865622721982518,1.865622721982518,1.8656963445608712,0.0777253935375234,0.0777253935375234,0.0777467006109226,0.2674914352088701,0.2674914352088701,0.2675124838952529,0,0.0,False,0,0.0,0.0,False
D5-M1R1-009,ramp_drop,low,2.0,OOD,simultaneous,LOW_VALUE_CONTROL,0.052575402948855,0.052575402948855,0.0525612961375496,0.1597034835268861,0.1597034835268861,0.1584002474119788,0.0233775122423963,0.0233775122423963,0.0233354375781524,0.0699449169074806,0.0699449169074806,0.0689238861520194,0,0.0,False,0,0.0,0.0,False
D5-M1R1-010,ramp_drop,low,4.0,OOD,after,HIGH_VALUE_CANDIDATE,0.319394984822887,0.319394984822887,0.3193498435514255,1.293530918802523,1.293530918802523,1.2961269884509596,0.2739620142562081,0.2739620142562081,0.2739562318076175,0.2860952370882066,0.2860952370882066,0.2879544503566513,0,0.0,False,0,0.0,0.0,False
D5-M1R1-011,ramp_drop,low,4.0,OOD,after,LOW_VALUE_CONTROL,0.069568988770055,0.069568988770055,0.0695780173971669,0.3888812057847858,0.3888812057847858,0.3905266314138345,0.0239857516005014,0.0239857516005014,0.024049780474849,0.1068321859135619,0.1068321859135619,0.1081084631019033,0,0.0,False,0,0.0,0.0,False
D5-M1R1-012,ramp_drop,high,2.0,known,before,HIGH_VALUE_CANDIDATE,0.2351496961534202,0.2351496961534202,0.237045707506012,0.8224713248247231,0.8224713248247231,0.8220659191397265,0.1287648374332684,0.1287648374332684,0.1249004980935712,0.1635458376515668,0.1635458376515668,0.1553422701415381,0,0.0,False,0,0.0,0.0,False
D5-M1R1-013,ramp_drop,high,2.0,known,before,LOW_VALUE_CONTROL,0.0576592574409221,0.0576592574409221,0.0576599897835856,0.164508586585218,0.164508586585218,0.1636773123992238,0.0247111745496193,0.0247111745496193,0.0241555132189343,0.0596953625235076,0.0596953625235076,0.0592515989651393,0,0.0,False,0,0.0,0.0,False
D5-M1R1-014,ramp_drop,high,4.0,known,simultaneous,HIGH_VALUE_CANDIDATE,0.3397820327625263,0.3397820327625263,0.3397787439346756,1.8015267608997303,1.8015267608997303,1.801456087941264,0.068788093867712,0.068788093867712,0.0687840117898932,0.2827913110960113,0.2827913110960113,0.2827765295921428,0,0.0,False,0,0.0,0.0,False
D5-M1R1-015,ramp_drop,high,4.0,known,simultaneous,LOW_VALUE_CONTROL,0.0551292057961709,0.0551292057961709,0.0551905054944425,0.2825314849846162,0.2825314849846162,0.283716212050077,0.0802814212298001,0.0802814212298001,0.0803991585984359,0.1005692939906118,0.1005692939906118,0.1015570754476559,0,0.0,False,0,0.0,0.0,False
