method,episodes,frequency_peak_hz,frequency_rms_hz,ace_iae_pu_s,tie_rms_pu,terminal_recovery_rate,fallback_calls,hard_violations,quality_gate
contract_only_rolling_mpc,6,2.230280684360332,0.5726759822887404,196.21716375087024,0.038298979617379374,0.8333333333333334,0,0,False
dcsv_cr_mpc,6,2.29070632959956,0.9064544707089831,434.55579610024097,0.06115130953236674,0.8333333333333334,322,0,False
fixed_allocation_anti_windup_pi,6,2.1098809108740464,0.7866936337325701,333.97707564155326,0.053418046069830034,0.8333333333333334,0,0,False
model_adaptive_mpc,6,2.218100900521475,0.6034714023948343,216.77630772086943,0.040313175471668176,0.8333333333333334,0,0,False
nominal_offset_free_mpc,6,1.7353946065835755,0.4243029641815534,147.42297534486121,0.02853374788372735,0.8333333333333334,0,0,False
sg_only_anti_windup_pi,6,2.159801659455044,0.9445201247429849,600.4398602839178,0.09576252910224847,0.6666666666666666,0,0,False
true_capability_oracle_mpc,6,1.6458192779387413,0.42493838127271133,153.64415666810262,0.028352555420765143,0.8333333333333334,0,0,False
