scenario_id,split,seed,plant,mechanism,sg_tension,period_s,duration_s,magnitude_class,timing_relation,load_area,load_sign,condition,capability_change_time_s,load_event_time_s,second_capability_change_time_s,initial_soc,frequency_noise_std_hz,control_jitter_s,dropout_probability,nominal_warmup_s,factor_assignment,contract_violation
C2-CV-00,confirmatory_contract_violation_separate,154,A_full_nonlinear,power_drop,low,2.0,300.0,bridge,before,area1,1,contract_violation,104.9589630116126,92.63621663040625,186.95896301161258,0.35,0.0001,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,True
C2-CV-01,confirmatory_contract_violation_separate,155,A_full_nonlinear,power_drop,low,4.0,300.0,bridge,before,area0,1,contract_violation,133.1078261435186,114.87839455694794,,0.5,0.0,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,True
C2-CV-02,confirmatory_contract_violation_separate,156,A_full_nonlinear,power_drop,high,2.0,300.0,bridge,after,area0,1,contract_violation,129.7832753421416,141.63763815259264,211.7832753421416,0.65,0.0001,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,True
C2-CV-03,confirmatory_contract_violation_separate,157,A_full_nonlinear,power_drop,high,4.0,300.0,bridge,after,area0,1,contract_violation,132.1170999989288,149.92027428725459,,0.5,0.0,0.0,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,True
C2-CV-04,confirmatory_contract_violation_separate,158,A_full_nonlinear,ramp_drop,low,2.0,300.0,bridge,before,both,1,contract_violation,119.29900354490465,100.4490414810582,,0.65,0.0002,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,True
C2-CV-05,confirmatory_contract_violation_separate,159,A_full_nonlinear,ramp_drop,low,4.0,300.0,bridge,before,both,1,contract_violation,131.56280425144746,113.24963421274096,,0.35,0.0,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,True
