scenario_id,mechanism,sg_tension,period_s,condition,timing_relation,value_region,base_frequency_peak_hz,voi_frequency_peak_hz,oracle_frequency_peak_hz,base_ace_iae_pu_s,voi_ace_iae_pu_s,oracle_ace_iae_pu_s,base_tie_iae_pu_s,voi_tie_iae_pu_s,oracle_tie_iae_pu_s,base_sg_mechanical_mileage_pu,voi_sg_mechanical_mileage_pu,oracle_sg_mechanical_mileage_pu,voi_probe_triggers,probe_command_l1_pu_s,hard_violation,fallback_calls,candidate_diameter_reduction_max,maximum_unmetered_responsibility_jump_pu,actually_probed
D5-M1R1-000,power_drop,low,2.0,known,before,HIGH_VALUE_CANDIDATE,0.3169436884302213,0.3169436884302213,0.3182863882811943,1.0686094355908482,1.076118019900515,1.0587084551276391,0.1844684748427889,0.1865269299567826,0.1731437616760416,0.2187583759475283,0.2196537846417879,0.203436210888443,1,0.02,False,0,0.5,1.3010426069826053e-18,True
D5-M1R1-001,power_drop,low,2.0,known,before,LOW_VALUE_CONTROL,0.0558016454905429,0.0558016454905429,0.0557846268759902,0.1497556676354891,0.1497556676354891,0.1478281117804322,0.0255554341209255,0.0255554341209255,0.025107431547842,0.0662031002764906,0.0662031002764906,0.0653581016284352,0,0.0,False,0,0.0,0.0,False
D5-M1R1-002,power_drop,low,4.0,known,simultaneous,HIGH_VALUE_CANDIDATE,0.4533961778908812,0.4533961778908812,0.4534204632240011,2.404656586554736,2.396668174952458,2.4073271054075107,0.097083099235629,0.0945090952003015,0.0971359592815677,0.3735481835754907,0.3765321092793224,0.3754992613027287,1,0.04,False,0,0.5,2.1684043449710093e-18,True
D5-M1R1-003,power_drop,low,4.0,known,simultaneous,LOW_VALUE_CONTROL,0.0525611848396354,0.0525611848396354,0.0525808480418922,0.2878872337623832,0.2878872337623832,0.2890167731488205,0.0699627757007528,0.0699627757007528,0.070009708763086,0.0921865974875259,0.0921865974875259,0.0931405289954111,0,0.0,False,0,0.0,0.0,False
D5-M1R1-004,power_drop,high,2.0,OOD,after,HIGH_VALUE_CANDIDATE,0.2375525376255394,0.2375525376255394,0.2375554466745816,0.8154100140310401,0.8173910947755296,0.8154576759572392,0.1711602652149349,0.1653228731780406,0.171184977720721,0.1804633941470836,0.1797606096102997,0.1804960475529274,1,0.02,False,0,0.5,2.1684043449710093e-18,True
D5-M1R1-005,power_drop,high,2.0,OOD,after,LOW_VALUE_CONTROL,0.0766143359625522,0.0766143359625522,0.0766121474708504,0.2482296646067631,0.2482296646067631,0.2482082640881853,0.0088655893997531,0.0088655893997531,0.0088725163779122,0.078377635559499,0.078377635559499,0.0783836708137867,0,0.0,False,0,0.0,0.0,False
D5-M1R1-006,power_drop,high,4.0,OOD,before,HIGH_VALUE_CANDIDATE,0.2349625722236182,0.2349625722236182,0.2313817291577026,0.9689680214597078,0.9726366034785724,0.9336204169616864,0.2013883406902199,0.2055797756474545,0.1880528308919387,0.2198053106930063,0.226994679926771,0.2155235252768156,1,0.04,False,0,0.5,2.1684043449710093e-18,True
D5-M1R1-007,power_drop,high,4.0,OOD,before,LOW_VALUE_CONTROL,0.0576599159620666,0.0576599159620666,0.0576571891831754,0.2701313943189647,0.2701313943189647,0.2717251438165717,0.1029255134992391,0.1029255134992391,0.1031921023872506,0.0950341791217076,0.0950341791217076,0.0961608523633489,0,0.0,False,0,0.0,0.0,False
D5-M1R1-008,ramp_drop,low,2.0,OOD,simultaneous,HIGH_VALUE_CANDIDATE,0.4404300703792191,0.4431820771984857,0.4404362774762361,1.8556930393035531,1.8759977507590355,1.855767066982665,0.0777174430078746,0.0756689884838422,0.0777454335588062,0.2603436275692712,0.2619971081703611,0.2603631629759182,1,0.02,False,0,0.5,1.3010426069826053e-18,True
D5-M1R1-009,ramp_drop,low,2.0,OOD,simultaneous,LOW_VALUE_CONTROL,0.0525794343474971,0.0525794343474971,0.0525612962255271,0.1616650015370779,0.1616650015370779,0.1603826625863322,0.0254939548337025,0.0254939548337025,0.025451394647846,0.0677525313046656,0.0677525313046656,0.0667493606721048,0,0.0,False,0,0.0,0.0,False
D5-M1R1-010,ramp_drop,low,4.0,OOD,after,HIGH_VALUE_CANDIDATE,0.3194235146542168,0.3194235146542168,0.319369921482853,1.3068466438186666,1.3096930544294054,1.3098419573405116,0.2875269825640906,0.2870875410495828,0.2875707021473083,0.2997821774211829,0.3075220580845009,0.3019712430567114,1,0.04,False,0,0.5,2.1684043449710093e-18,True
D5-M1R1-011,ramp_drop,low,4.0,OOD,after,LOW_VALUE_CONTROL,0.0695689863721691,0.0695689863721691,0.0695562073098513,0.4160446370923788,0.4160446370923788,0.417680046452009,0.0217468457433596,0.0217468457433596,0.0218110466455762,0.1192685484849283,0.1192685484849283,0.1205165402951933,0,0.0,False,0,0.0,0.0,False
