point_id,period_s,sg_tension,load_magnitude_pu,power_spread_pu,ramp_spread_pu_per_s,delay_spread_s,noise_std_pu,soc,tie_loading_pu,objective,nominal_frequency_hz
B1_ADAPT_0000,4.0,medium,0.05415862947673629,0.005042886593763815,0.0033675721906931307,1.3,0.0007155263395147484,0.463476324923964,0.023771277754291196,resource_economy,50.0
B1_ADAPT_0001,2.0,medium,0.075,0.02868892779771505,0.0,0.9673894875587173,0.0008948554114134402,0.4430059472549746,0.025657069194721736,resource_economy,50.0
B1_ADAPT_0002,2.0,medium,0.015,0.013205472768088635,0.011082744742620734,1.1719744298958144,0.0005,0.5639791448307283,0.039804909279238805,resource_economy,50.0
B1_ADAPT_0003,4.0,medium,0.07245289433357989,0.027887289330956577,0.012565922996676734,0.24124794597580712,0.002,0.7,0.0,resource_economy,50.0
B1_ADAPT_0004,2.0,medium,0.07264634766738706,0.01803284205204089,0.006697836451736627,0.9807972638125277,0.0006952286346201693,0.5047623083668134,0.03489627466739295,resource_economy,50.0
B1_ADAPT_0005,2.0,low,0.07368353218032427,0.0,0.019594956303024606,0.49126328682478143,0.0014838511916150069,0.565347009881788,0.02717448847509065,resource_economy,50.0
B1_ADAPT_0006,4.0,medium,0.075,0.002109097159644426,0.020029542934033064,0.44615723974559796,0.0007711944228702802,0.4503162833479281,0.03007745639051978,resource_economy,50.0
B1_ADAPT_0007,2.0,low,0.0714752467259685,0.01684371169264924,0.02827616508894504,0.8942202097846312,0.0007741186352976288,0.7,0.04,resource_economy,50.0
B1_ADAPT_0008,2.0,low,0.06723330742326926,0.035,0.020263637516374926,0.6474406209183263,0.0011071284612292748,0.47134636807401,0.029212263754090657,resource_economy,50.0
B1_ADAPT_0009,4.0,low,0.075,0.008386788032803405,0.01804706695964313,0.4740345709480599,0.0011901175268067953,0.4645123997068008,0.00022383860813691633,resource_economy,50.0
B1_ADAPT_0010,4.0,medium,0.0655354987627924,0.0087718038911127,0.005464468873180939,0.446961923436315,0.000818530794756902,0.7,0.04,resource_economy,50.0
B1_ADAPT_0011,4.0,medium,0.06028628571058321,0.003192061683338082,0.032928154054472955,0.2938976987133467,0.0008485823544433356,0.5447869523356333,0.0320198689224818,resource_economy,50.0
B1_ADAPT_0012,4.0,low,0.06238191856598729,0.015323488455845496,0.0223041149964427,0.7262539329315055,0.0007248652781395898,0.41201111139085056,0.030344565808653242,resource_economy,50.0
B1_ADAPT_0013,4.0,high,0.07028255294048634,0.015762711453551084,0.02841280258801216,1.0773072372594017,0.002,0.5047225762052969,0.005729847360964666,resource_economy,50.0
B1_ADAPT_0014,2.0,medium,0.018317118332979068,0.017662087995995997,0.027837997621526372,0.8856265184319861,0.0017318568307766547,0.438260651133546,0.027551578041682817,resource_economy,50.0
