source,metric,analysis,penalty_multiplier,field,recomputed,package,absolute_difference,within_tolerance,scope,category,quantity,plant,mechanism,sg_tension
CORRECTED_METRIC_SUMMARY,frequency_peak_hz,failure_aware,1.5,scenario_balanced_baseline_mean,0.3317760647204182,0.3317760647204182,0.0,True,,,,,,
CORRECTED_METRIC_SUMMARY,frequency_peak_hz,failure_aware,1.5,paired_absolute_difference,-0.0136037645454552,-0.0136037645454552,0.0,True,,,,,,
CORRECTED_METRIC_SUMMARY,frequency_peak_hz,failure_aware,1.5,aggregate_mean_relative_improvement,-0.041002850995049474,-0.0410028509950494,7.632783294297951e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,frequency_peak_hz,failure_aware,1.5,diagnostic_only_mean_episode_relative_ratio,-0.06454058116753315,-0.0645405811675331,5.551115123125783e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,frequency_peak_hz,failure_aware,2.0,paired_scenarios,110,110,0.0,True,,,,,,
CORRECTED_METRIC_SUMMARY,frequency_peak_hz,failure_aware,2.0,design_cells,24,24,0.0,True,,,,,,
CORRECTED_METRIC_SUMMARY,frequency_peak_hz,failure_aware,2.0,scenario_balanced_proposed_mean,0.3993372861840994,0.3993372861840994,0.0,True,,,,,,
CORRECTED_METRIC_SUMMARY,frequency_peak_hz,failure_aware,2.0,scenario_balanced_baseline_mean,0.37861485141425116,0.3786148514142511,5.551115123125783e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,frequency_peak_hz,failure_aware,2.0,paired_absolute_difference,-0.020722434769848253,-0.0207224347698482,5.204170427930421e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,frequency_peak_hz,failure_aware,2.0,aggregate_mean_relative_improvement,-0.05473222905135162,-0.0547322290513516,2.0816681711721685e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,frequency_peak_hz,failure_aware,2.0,diagnostic_only_mean_episode_relative_ratio,-0.09603595217044393,-0.0960359521704439,2.7755575615628914e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,frequency_peak_hz,failure_aware,3.0,paired_scenarios,110,110,0.0,True,,,,,,
CORRECTED_METRIC_SUMMARY,frequency_peak_hz,failure_aware,3.0,design_cells,24,24,0.0,True,,,,,,
CORRECTED_METRIC_SUMMARY,frequency_peak_hz,failure_aware,3.0,scenario_balanced_proposed_mean,0.5072522000205516,0.5072522000205516,0.0,True,,,,,,
CORRECTED_METRIC_SUMMARY,frequency_peak_hz,failure_aware,3.0,scenario_balanced_baseline_mean,0.47229242480191713,0.4722924248019171,5.551115123125783e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,frequency_peak_hz,failure_aware,3.0,paired_absolute_difference,-0.03495977521863447,-0.0349597752186344,6.938893903907228e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,frequency_peak_hz,failure_aware,3.0,aggregate_mean_relative_improvement,-0.07402146082122078,-0.0740214608212207,8.326672684688674e-17,True,,,,,,
CORRECTED_METRIC_SUMMARY,frequency_peak_hz,failure_aware,3.0,diagnostic_only_mean_episode_relative_ratio,-0.15902669417626536,-0.1590266941762653,5.551115123125783e-17,True,,,,,,
