metric,subset,scenario_count,scenario_balanced_relative_improvement,ci_lower,ci_upper,value_recovery_scenario_count,scenario_balanced_value_recovery,value_recovery_ci_lower,value_recovery_ci_upper,ci_multiplicity,evidence_stage
ace_iae_pu_s,A1_MATERIALITY_POSITIVE_POWER_CELLS,10,-0.3131024907012679,-0.5135456134574362,-0.0793893267761729,2,0.0024903822244366,-0.000430114365099,0.0054108788139722,BONFERRONI_ACE_TIE,A6 locked validation
tie_iae_pu_s,A1_MATERIALITY_POSITIVE_POWER_CELLS,10,-0.8426479573019633,-2.06821609972908,-0.1610370968616311,2,-0.0003108449897808,-0.0004530672063144,-0.0001686227732473,BONFERRONI_ACE_TIE,A6 locked validation
sg_mechanical_mileage_pu,A1_MATERIALITY_POSITIVE_POWER_CELLS,10,-0.8226684440086093,-1.322041763090804,-0.2927441778677439,0,,,,NONE,A6 locked validation
frequency_peak_hz,A1_MATERIALITY_POSITIVE_POWER_CELLS,10,-1.979747042199587e-05,-7.747414704191185e-05,3.028285843014721e-05,6,0.3175429297319967,-0.2646766738328427,1.6298646074885836,NONE,A6 locked validation
