period_s,delay_s,left_vertex_s,right_vertex_s,matrix_inf_error,bounded_state_error_inf
2.0,0.2,0.2,0.6,0.0,0.0
2.0,0.20499722222222222,0.2,0.6,0.0015434467922603723,0.00011308386385492225
2.0,0.20999444444444446,0.2,0.6,0.0030393289398920054,0.0002248719239537042
2.0,0.2149916666666667,0.2,0.6,0.004487847474894613,0.00033529801692556993
2.0,0.2199888888888889,0.2,0.6,0.005889210910427049,0.0004442960986655259
2.0,0.2249861111111111,0.2,0.6,0.007243635196195863,0.0005518002572981531
2.0,0.22998333333333335,0.2,0.6,0.008551343672392138,0.0006577447261374317
2.0,0.23498055555555558,0.2,0.6,0.00981256702220228,0.0007620638966425056
2.0,0.2399777777777778,0.2,0.6,0.011027543222886023,0.0008646923313652921
2.0,0.244975,0.2,0.6,0.012196517495437792,0.0009655647768878514
2.0,0.24997222222222223,0.2,0.6,0.013319742252842562,0.001064616176747995
2.0,0.25496944444444447,0.2,0.6,0.014397477046930882,0.0011617816843483826
2.0,0.2599666666666667,0.2,0.6,0.015429988513845472,0.0012569966758489187
2.0,0.2649638888888889,0.2,0.6,0.016417550318133745,0.0013501967630382996
2.0,0.2699611111111111,0.2,0.6,0.017360443095467137,0.0014413178061829979
2.0,0.27495833333333336,0.2,0.6,0.018258954394007876,0.0015302959268506014
2.0,0.27995555555555557,0.2,0.6,0.019113378614429535,0.001617067520705588
2.0,0.2849527777777778,0.2,0.6,0.01992401694860202,0.0017015692702740271
2.0,0.28995000000000004,0.2,0.6,0.0206911773169558,0.0017837381576759912
2.0,0.29494722222222225,0.2,0.6,0.021415174304537155,0.0018635114773218825
2.0,0.29994444444444446,0.2,0.6,0.02209632909576012,0.0019408268485707988
2.0,0.30494166666666667,0.2,0.6,0.022734969407882888,0.0020156222283483367
2.0,0.3099388888888889,0.2,0.6,0.0233314294231991,0.002087835923721134
2.0,0.31493611111111114,0.2,0.6,0.023886049719982094,0.002157406604425758
2.0,0.31993333333333335,0.2,0.6,0.02439917720217033,0.0022242733153494277
2.0,0.32493055555555556,0.2,0.6,0.024871165027837594,0.002288375488959747
2.0,0.3299277777777778,0.2,0.6,0.025302372536423756,0.0023496529576815823
2.0,0.33492500000000003,0.2,0.6,0.02569316517477993,0.0024080459662176586
2.0,0.33992222222222224,0.2,0.6,0.026043914422012954,0.0024634951838115554
2.0,0.34491944444444445,0.2,0.6,0.026354997713159523,0.002515941716449112
2.0,0.34991666666666665,0.2,0.6,0.026626798361696527,0.0025653271189973337
2.0,0.3549138888888889,0.2,0.6,0.026859705480911655,0.002611593407277135
2.0,0.3599111111111111,0.2,0.6,0.027054113904140392,0.0026546830700678115
2.0,0.36490833333333333,0.2,0.6,0.027210424103888964,0.002694539081041281
2.0,0.3699055555555556,0.2,0.6,0.02732904210986653,0.002731104910622655
2.0,0.3749027777777778,0.2,0.6,0.027410379425925613,0.0027643245377756494
2.0,0.3799,0.2,0.6,0.027454852945944963,0.0027941424617097194
2.0,0.3848972222222222,0.2,0.6,0.027462884868664994,0.00282050371350688
2.0,0.38989444444444443,0.2,0.6,0.027434902611482598,0.0028433538676657165
2.0,0.3948916666666667,0.2,0.6,0.027371338723244598,0.002862639053559997
2.0,0.3998888888888889,0.2,0.6,0.027272630796033523,0.002878305966809831
2.0,0.4048861111111111,0.2,0.6,0.02713922137598246,0.002890301880562554
2.0,0.4098833333333334,0.2,0.6,0.02697155787312111,0.002898574656681438
2.0,0.4148805555555556,0.2,0.6,0.026770092470285833,0.0029030727568398543
2.0,0.4198777777777778,0.2,0.6,0.026604196288958104,0.0029037452535178
2.0,0.424875,0.2,0.6,0.02656633844623768,0.0029005418408995986
2.0,0.4298722222222222,0.2,0.6,0.026492639621746333,0.002893412845669485
2.0,0.4348694444444445,0.2,0.6,0.026382683407016216,0.0028823092377037052
2.0,0.4398666666666667,0.2,0.6,0.02623605930514253,0.0028671826406557375
2.0,0.4448638888888889,0.2,0.6,0.02605236281884593,0.0028479853424335237
2.0,0.44986111111111116,0.2,0.6,0.02583119553751867,0.0028246703055656228
2.0,0.45485833333333336,0.2,0.6,0.025572165223255228,0.002797191177454657
2.0,0.4598555555555556,0.2,0.6,0.02527488589584015,0.0027655023005151882
2.0,0.4648527777777778,0.2,0.6,0.024938977916676458,0.0027295587221945884
2.0,0.46985000000000005,0.2,0.6,0.024564068071636636,0.002689316204874124
2.0,0.47484722222222225,0.2,0.6,0.024149789652822773,0.0026447312356485467
2.0,0.47984444444444446,0.2,0.6,0.023695782539209176,0.0025957610359817404
2.0,0.48484166666666667,0.2,0.6,0.023201693276153956,0.0025423635712362516
2.0,0.4898388888888889,0.2,0.6,0.02266717515377084,0.002484497560075349
2.0,0.49483611111111114,0.2,0.6,0.022091888284126893,0.0024221224837342853
2.0,0.49983333333333335,0.2,0.6,0.021475499677264503,0.00235519859515991
2.0,0.5048305555555556,0.2,0.6,0.02081768331602496,0.0022836869280161635
2.0,0.5098277777777778,0.2,0.6,0.020118120229652425,0.002207549305552834
2.0,0.5148250000000001,0.2,0.6,0.01937649856617199,0.00212674834933697
2.0,0.5198222222222222,0.2,0.6,0.018592513663518107,0.0020412474878434054
2.0,0.5248194444444445,0.2,0.6,0.017765868119399397,0.0019510109649039638
2.0,0.5298166666666666,0.2,0.6,0.016896271859885847,0.0018560038480122576
2.0,0.5348138888888889,0.2,0.6,0.015983442206697118,0.0017561920364825739
2.0,0.5398111111111111,0.2,0.6,0.015027103943189013,0.0016515422694615071
2.0,0.5448083333333333,0.2,0.6,0.014026989379008148,0.0015420221337898775
2.0,0.5498055555555557,0.2,0.6,0.012982838413411774,0.0014276000717131944
2.0,0.5548027777777778,0.2,0.6,0.011894398597227296,0.0013082453884389652
